timestamp,temperature,humidity,pressure,windSpeed,rainfall
2024-01-01T09:00,31.5,65,1012,3.2,0.0
2024-01-01T09:10,32.0,67,1011,3.5,0.0
2024-01-01T09:20,32.8,70,1010,4.1,0.1
2024-01-01T09:30,33.6,72,1009,4.5,0.0
2024-01-01T09:40,34.5,75,1007,5.0,0.0
2024-01-01T09:50,35.2,78,1006,5.8,0.2
2024-01-01T10:00,36.1,82,1004,6.2,0.5
2024-01-01T10:10,37.0,85,1002,6.8,1.2
2024-01-01T10:20,38.2,88,1000,7.4,2.5
2024-01-01T10:30,39.5,91,998,8.0,4.0
2024-01-01T10:40,40.8,93,995,8.6,6.5
2024-01-01T10:50,41.6,95,992,9.2,8.0
2024-01-01T11:00,42.3,96,990,9.8,10.2
2024-01-01T11:10,43.0,97,987,10.5,12.0
2024-01-01T11:20,44.1,98,984,11.2,15.5
